artist_name,track_name,release_date,genre,value
Tamela Mann,Take Me to the King,2012,gospel,"Take me to the King I don't have much to bring My heart is torn in pieces It's my offering Take me to the King Truth is I'm tired Options are few I'm trying to pray But where are You? I'm all churched out Hurt and abused I can't fake What's left to do? (Come on) Truth is I'm weak No strength to fight No tears to cry Even if I tried But still my soul Refuses to die, mm-hm One touch will change my life Take me to the King I don't have much to bring My heart's torn in pieces It's my offering Lay me at the throne Leave me there alone To gaze upon Your glory And sing to You this song Please take me to the King (come on) Truth is it's time To stop playing these games We need a word For the people's pain So, Lord, speak right now Let it fall like rain Oh, yeah, we're desperate We're chasing after you, oh-whoa No rules, no religion I've made my decision To run to You The healer that I need Take me to the King I don't have much to bring My heart's torn to pieces It's my offering Lay me at the throne Leave me there alone To gaze upon Your glory And to sing to You this song (sing) Take me to the- Lord, we're in the way We keep making mistakes (glory) Glory is not for us It's all for You (come on, come on) Take me to the King I don't have much to bring My heart's torn to pieces It's my offering Lay me at the throne Leave me there (leave me there alone) I wanna gaze upon Your glory (To gaze upon Your glory) Sing to You (sing to you this song) To sing to You this song Take me to the King Take me to the King Take me to the King"
Smokie Norful,I Need You Now,2012,gospel,"Not a second Or another minute Not an hour Or another day  But at this moment with my arms outstretched I need you to make a way As you have done so many times before Through a window or an open door  I stretch my hands to you Come rescue me I need you… Right away  I need you now I need you now I need you now I need you now  Not another second Or another minute Not an hour of another day But Lord I need you right away  If I never needed you before To show up and restore All of the faith that I let slip While I was yet searching the world for more  The true best friend I have indeed You're my best friend I know indeed I stretch my hands to thee Come rescue me I need you right away  The agony of being alone The fear of doing things on my own The test and trials that come to make me strong The feelings of guilt, hurt, shame, and defeat The way the trials that beat upon me But to know Lord that in you I've got victory, yeah  I need you now, Lord, I need you now (oh, wo, wo) I need you right now, right now, right now I need you now  Oh not another second Not another minute, Lord Can't wait another day (oh…) Oh Lord, please make a way Oh Lord, h Lord, mmmmm, Yeah Oh Lord"
Richard Smallwood,Total Praise,2003,gospel,"Lord, I will lift my eyes to the hills Knowing my help is coming from You Your peace, You give me in time of the storm  You are the source of my strength You are the strength of my life I lift my hands in total praise to You You are the source of my strength You are the strength of my life I lift my hands in total praise to You  Amen, Amen, Amen, Amen Amen, Amen, Amen, Amen  You are the source of my strength You are the strength of my life I lift my hands in total praise to You  Amen, Amen, Amen, Amen Amen, Amen, Amen, Amen Amen, Amen, Amen, Amen"
The Winans,Tomorrow,1984,gospel,"Jesus said, Here I stand Won't you please let me in And you said, I will tomorrow Jesus said, I am He Who supplies all your needs And you said, I know but tomorrow  Ooh, tomorrow I'll give my life tomorrow I thought about today But it's so much easier to say Tomorrow Who promised you tomorrow Better choose the Lord today For tomorrow very well might be too late  Jesus said (Jesus said), Here I stand Won't you please take my hand And you said, I will tomorrow Jesus said, I am He Who supplies all your needs And you said, I know but tomorrow  Oh, tomorrow I'll give my life tomorrow I thought about today Oh, but it's so much easier to say Tomorrow Who promised you tomorrow Better choose the Lord today For tomorrow very well might be too late  And who said tomorrow would ever come for you Still you laugh and play and continue on to say  Tomorrow Forget about tomorrow Won't you give your life today, oh please Don't just turn and walk away Tomorrow Tomorrow is not promised Don't let this moment slip away, hoo hoo hoo Your tomorrow could very well begin today"
BeBe & CeCe Winans,Addictive Love,1991,gospel,"Ooh, ooh Ooh, ooh Ooh, hoo, hoo  Way higher, yeah Yeah Yeah  All I wanna do is just explain Why that we feel the way we do (Ooh) What a joy to share with you  For me to live is Christ To die is gain If anymore I need to say The list goes on and on all day  I'll cherish that moment for life And I know it might sound crazy It's all right Take a seat Hold tight  Time to admit (Time we should admit it) I'm so addicted, yeah You see He's taken my heart And showed me the right way  No doubt about it (Doubt it, no doubt) See, I'm lost without it Yeah You see this love takes me higher I didn't know why then  I found it was addictive love Yeah (Woo, hoo, yeah)  Now that we've evened up the score Hey, what do you mean there's so much more? I need to tell why we adore The reason why I smile When I When I wake up  And also the reason Why I dream (Reason why I dream) My love My joy My everything  So much love He's given to me Everything I longed for Everything I need  That means I'm never alone So glad And everything I've dreamed and much more (Much more, yeah, yeah, yeah, yeah, yeah) So much more  And I'll cherish (Cherish the moment) That moment for life For the rest of my life, yeah, yeah  And I know it might sound crazy But (It's not crazy) No I'm not crazy  I've never known anyone to Love me quite the way you do And I tell you It's hopeless  I've finally noticed that (Hopeless) I'm just forever addicted, forever (Forever in love) Hey (Yeah, yeah, yeah)"
Vanessa Bell Armstrong,Peace Be Still,1983,gospel,"Master, the tempest is raging The billows are tossing high The sky is o'ershadowed with blackness No shelter or help is nigh Carest thou not that we perish? How canst thou lie asleep When each moment so madly is threatning A grave in the angry deep?  The winds and the waves shall obey thy will Peace, be still Peace, be still Peace, be still Peace, be still Whether the wrath of the storm-tossed sea Or demons, or men, or whatever it be No water can swallow the ship where lies The Master of ocean and earth and sky They all shall sweetly obey thy will Peace, peace, be still"
Albertina Walker,I Can Go to God in Prayer,1981,gospel,"Makes no difference what the problem (I can go to God in prayer) Yes, I have this blessed assurance (I can go to God in prayer) He will take my gloom and sorrow (turn it into light) He will comfort, strengthen and keep me (I can go to God in prayer) I can call Him (I can call Him) When I need Him (When I need Him) Father (our Father) Up in heaven (up in heaven) I can go (I can go to) God in prayer (God in prayer) I can go to God in prayer Sometimes my burdens, they get so heavy (I can go to God in prayer) I have found one who is so faithful (I can go to God in prayer) He will take my gloom and sadness (turn it into light) He will never ever forsake me, Lord (I can go to God in prayer) I can call (I can call Him) When I need Him (When I need Him) Father (our Father) Up in heaven (up in heaven) I can go (I can go to) God in prayer (God in prayer) I can go to God in prayer Sometimes my burdens, they get so heavy Lord, oh Lord (I can go to God in prayer) I have this blessed assurance (I can go to God in prayer) He will take my gloom and sorrow (turn it into light) He will never, never forsake me (I can go to God in prayer) I can call (I can call Him) When I need Him (When I need Him) Father (our Father) Up in heaven (up in heaven) I can go (I can go to) God in prayer (God in prayer) I can go to God in prayer He can work it out, He can work it out (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) I know without a doubt, I know without a doubt (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) He'll brighten up your way, each and every day (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) I can call Him (I can call Him) When I need Him (When I need Him) Father (our Father) Up in heaven (up in heaven) I can go (I can go to) God in prayer (God in prayer) I can go to God in prayer He can work it out, He can work it out (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) I know without a doubt, I know without a doubt (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) He'll brighten up your way, each and every day (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) I can call Him (I can call Him) Whenever I need Him (When I need Him) I say, Father (our Father) Up in heaven (up in heaven) I can go (I can go to) God in prayer (God in prayer) I can go to God in prayer I tell ya, He can work it out, He can work it out, oh (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) I know without a doubt, I don't have no doubt, oh Lord (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) He'll brighten up your way, oh, each and every day (Yes, He can, yes, He can) (Yes, He can, oh yes, He can) I can call Him (I can call Him) When I need Him (When I need Him) Father (our Father) Up in heaven (up in heaven) I can go (I can go to) To God in prayer (God in prayer) I can go to God in prayer"
Dorothy Norwood,Victory Is Mine,1991,gospel,"Victory is mine, victory is mine Victory today is mine I told Satan to get thee behind Victory today is mine  When I rose this morning I didn't have no doubt I knew that the Lord would bring me out  I fell on my knees Said, Lord, help me please Got up singing and shouting the victory  Victory is mine, victory is mine Victory today is mine I told Satan to get thee behind Victory today is mine  Joy is mine, joy is mine I know that joy is mine I told Satan to get thee behind I know that joy is mine  Happiness is mine, happiness is mine Happiness today is mine I told Satan to get thee behind Happiness today is mine  Victory is mine, victory is mine Victory today is mine I told Satan to get thee behind Victory today is mine  Joy is mine, joy is mine I know that joy is mine I told Satan to get thee behind I know that joy is mine"
The Canton Spirituals,Clean Up,1997,gospel,"Put your hand like this Two years ago I've made a lot of mistakes and I made up my mind Then I'm gonna do something about it Let me tell you What I decided and I was gonna do I've gotta clean up What I messed up I'm starting my life over again I've gotta clean up What I messed up I'm starting my life over again You know what I'm saying to Mantheya? I made up my mind I ain't lying no more 'Cause a liar and a cheater Can't make it through the door I've gotta clean up (yes I do, yeah) What I messed up (come on y'all, sing it) I'm starting my life (yeah) over again (yeah) I've gotta clean up (yes I do, yeah) What I messed up (yeah) I'm starting my life over again (can I take it somewhere to that day) Listen, let me tell you I made up my mind I ain't runnin' no more I'm goin' back to church I'm gonna walk right through this door I've gotta clean up What I messed up (yeah) I'm starting my life over again (yeah) I've gotta clean up (yes I do, yeah) What I messed up (oh, be us) I'm starting my life (just one more over) over again (Just one more over it, shot, one more over it) I made up my mind I ain't cheatin no more Because a cheater Can't make it through the door Clean up (yes I do, yeah) What I messed up (can I get a wee) I'm starting (y'all talk to me tonight) my life over again (I made up in my mind) I've gotta clean up (yes I do, yeah) What I messed up (yeah-ah-ah) Starting my life (yeah) over again Those of you that feel like I do, let's do better Happenin' y'all win it, you better right now Those of you that feel like I do, let's do better (yeah) Clean up What I messed up (yeah-ah-ah) I'm starting my life over again I've gotta clean up (I made up in my mind, yeah) What I messed up (happenin' y'all been wrong, God damn) (Let's start) I'm starting my life (let's start) over again (let's start) What I messed up (you got the Tinnemans soul) Starting my life (start) over again (I made it go started) (I made it go started) Clean up (yeah, yeah, yeah) What I messed up (oh, wee, oh) Starting my life (God, bless you) over again (God, bless you) (God, bless you) Put your hand togethger like this Shh! (Shh!) I'm on a better y'all Get on your feet Wait a minute Stay right there y'all, go back I want y'all to stay right (gotta clean up) Stay right there Ah, you know what I want y'all to do I want y'all to look Look, everybody Just look at somebody beside you Say 'neighbour' (neighbour!) 'I love you' (I love you!) Say 'I know you might not know me' (I know you might not know me!) 'And I might not know you' (and I might not know you) But you know what the both of us stay to do? You're here to clean up What I messed up (come on y'all) I'm starting my life over again (yeah, with Messiah) (Come on, come on y'all) I've gotta clean up (let me hear you singin') What I messed up (come on, let me hear it) Starting my life over again (let's sing one more time) I've gotta clean up (I can't hear you) What I messed up Starting my life over again (God, bless you, God, bless you)"
The Williams Brothers,I'm Just a Nobody,1985,gospel,"I was walking downtown one day, And I saw a man that appeared to be just an old wino; Sitting on the streets, telling the people About Jesus as they passed by. And because he was all raggedy and dirty, People would just laugh and make fun Of the old man and walk on by. And he said because of the way I am, No money, no fancy clothes, no fine homes and cars, A lot of people consider me as nothing, And say I don't know what I am talking about. But there is one thing that he said That really touched my heart and stayed on my mind, When that old man looked up and said... I'm just a nobody trying to tell everybody, About somebody, who can save anybody. I'm just a nobody trying to tell everybody, About somebody, who can save anybody. And he said, I've had so many problems in my life, That I just couldn't deal with so I started drinking, Thought it would help ease my pain. But things got worse, so I said, 'Lord I give up I'm in your hands', And that's when my life began to change, But these people think I'm just a nobody trying to tell everybody, About somebody, who can save anybody. And he said, On the streets day and night, That's my life, that's my home, Ain't got nowhere else I could go. So I just walk the streets, Telling the people about Jesus From corner to corner, from door to door; But they all make fun of me and say... I'm just a nobody trying to tell everybody, About somebody, who can save anybody. Save, save, Save your soul. I'm just a nobody trying to tell everybody, About somebody, who can save anybody."
