_c0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
80963,boogie down productions,ghetto music,1989,hip hop,like sound hear ghetto music ghetto music ghetto music ghetto music tune easy listen sound gown crown glitter makeup smashin lyric hit advice free industry gotta grow commercial know important underground superstar like gotta question speak facts start guessin learn lesson plan career commercial underground cause side write hit admit come explain people play game wanna like wrong writin reality song touch issue talk knowledge want base cause bring racist bring pink yeah stop guess alright demonic guess alright demonic chapter book come different look look commercial underground ghetto sound music refuse rockin ghetto music people tellin need radio yeah gotta like soandso platinum attack rhyme ghetto teach ghetto change heck ghetto stay mellow effect ready fresh nineteen eightynine suckers peace jungle brothers come master start heart fall apart like dart shoot target ghetto music yeah chart cause eightynine purpose rhyme strengthen uplift mind achieve achieve achieve simple leave cause time respect lose ghetto music ghetto music ghetto music ghetto music ghetto music,163,5.65930986962208E-4,5.659309831198245E-4,0.05511874738746862,5.659310183532745E-4,0.0473860337022772,5.659309607417119E-4,5.659310048095177E-4,0.13342563043347913,0.12597608584502212,0.3094352995424177,5.65930970990846E-4,5.659309705853573E-4,0.05888059894552791,0.08298035138408404,0.06341052624118655,5.659309602314584E-4,0.9263511318098128,0.5934671691921134,0.0012138566404183138,1.437246963562753E-5,0.5300906842539158,0.6035912232694354,music,0.44285714285714284
80964,boogie down productions,jack of spades,1989,hip hop,start heart take time heart come everybody fear crashin door whore bringin gold chain krsone see human make excuse losers chainsnatchers pimp drug abusers like gotta pushin somebody start mushin suckers claimin rule environment buyin think everybody teach buy take short cause hasn pay spade dnice scratch calm kind courageous loyal temper boil cause like whistle blow right go crime commit right tail bail thinkin bout jail end justify mean scene track movement lose cause come attack crack cocaine cop fiends heat gold chain game destroy stereotype hype crack pip like criminals crime mind come kungfu hammer slammer renegade teacher scholar gotta fall line hear rhyme cause time theme song call spade dnice scratch know spade posse wanna watch throw hand scream yeah yeahhh time yeahhh flash rhyme cool loud quiet head cause spade riot cleanin community debris crime road long scary average couldn average take piece brother gotta admit martyr soldier hero start zero battle clearly understand power payin people hour sell stand gettin everybody high high cable cash table currency able cop prop pay come spade dnice scratch break dnice scratch fresh spade suckers,186,5.263158273739668E-4,0.14041871072528295,5.263158200677927E-4,0.061762813236656014,0.023666499077868344,5.263158064450962E-4,5.263158088155538E-4,5.263158335176667E-4,0.5313898942528503,0.02400068841054603,0.11326996314831972,5.263158167872483E-4,5.2631584499999E-4,5.26315824739306E-4,0.06903377320772634,0.0150276181539034,0.9718401386331639,0.5829295182421865,0.010340371827682559,2.044534412955466E-6,0.44455894476504537,0.5004849000289098,obscene,0.44285714285714284
80967,boogie down productions,the style you haven't done yet,1989,hip hop,number soundlive ghetto music produce krsone widdybyebye byebye byebye widdybyebye byebye byebye come claim attain level rhymin listen lyin tryin years stop change rearrange producer touch microphone loser laugh smirk belong perform song specific style gift poetically uplift speak attack maybe rhyme statue tell people literally come rockin funky lyric better endlessly recitin poetry time street hear voice know krnope ready teach style attain widdybyebye widdybyebye widdy byebye byebye byebye widdybyebye widdy byebye widdybyebye widdy byebye byebye byebye widdybyebye plumb know krsone come sing style sing rock party gotta suckers want krsone instead japslap teacher wack like stack hit albums triplelayer cake throw face waste pick taste poet black race whip whine touch time rhyme black effect jeeeeeeesus gosh dude gosh dude crew juice crew,125,0.0010121458345750604,0.14488936705478292,0.0010121458661611757,0.05494700049488296,0.001012145753567726,0.0010121457692446178,0.001012145888662363,0.0794902157784896,0.47786209855682216,0.19124458225557237,0.0010121458144180114,0.0010121457820889007,0.001012145861199175,0.001012145793502359,0.0010121457797773877,0.0010121457540275486,0.9469294920394238,0.6108760864548881,0.04748900350301557,0.0,0.9670239076669415,0.5895767715668396,obscene,0.44285714285714284
80969,boogie down productions,gimme dat (woy),1989,hip hop,right right bring smooth alright hello whassup happenin know teacher rappin need slappin cause sayin wack weak speak sucker comin face yangyang chain gang draggin feet beat produce library teach hiphop live smidgen givin krsone encore freshman sophomore graduate school short world rappin bring single style create offbeat seat create style study single week come face like rulin teacher foolin defense common sense confidence intelligence excellence intense difference krsone mean ignorance obediance magnificence reference stop violence criminal mind poetry hat title gimme little test bust attention feel like lettin lyric steppin jettin gettin respect teacher meet number drop science teach correct catch style like treat like bite kind hungry calcan step cause time hold hand slam understand teacher professor scholar makin dollars trainer entertainer makin holla numero number best perfectionist crazy fresh gimme original original original original,137,8.097166398641338E-4,8.097166726737167E-4,0.09281017240781934,8.097166976518871E-4,8.097166532288618E-4,0.01759972077723715,8.097166926483807E-4,8.097166576716085E-4,0.5726053732627467,8.097166228852213E-4,8.097166533825501E-4,8.09716629352435E-4,0.09345403837224805,0.17665910115471742,8.097166251604163E-4,8.097166511853342E-4,0.676161594281382,0.5287029202881829,8.634546821834158E-4,0.0,0.7743198680956307,0.40638786716862424,obscene,0.44285714285714284
80970,boogie down productions,the blueprint,1989,hip hop,blueprint musty fusty clear noncommercial bring positive people plus equal slammin lyric beat unquestionable professional guess grab album rock market strong hearted target bloo target shoot lyric reload clip bloo hit grind opponents weak crown bloo bloo title come disaster listen laughter heart capture cause lecture texture wack cause time weakness teacher speak dialect gain nuff resect money care cause boogie productions worldwide coast coast soft commercial sound ghetto cause refuse understand know copy read blueprint keepin track wack step speak wack cause pack posse stupid watch stop original copy sloppy sloppy slouch time bite yell ouch breakout lose throat hoarse lose cause dope course come years practice antislackness antiwackness throw glass teach mass simple question stomp somebody say comp thousands overseas soft leave door coat mitt cause read blueprint,130,9.233611043914148E-4,0.23906148556310686,0.0521875535434389,9.233611100300324E-4,9.233610424097145E-4,9.233610487492285E-4,9.233610959400703E-4,0.2034946761824079,0.31652856907125115,9.233610965000312E-4,9.233610968211965E-4,9.23361068068667E-4,9.233611280403841E-4,9.233610449940628E-4,0.03569134828501984,0.023718871669747617,0.9512617784035524,0.5230623285388303,0.019577328892900495,4.564777327935223E-6,0.5362737015663643,0.6546438687574626,obscene,0.44285714285714284
80972,boogie down productions,breath control,1989,hip hop,tell bout crew know call boogie productions steal larock krsone dnice know know know know krsone check breath control example appeal criminal mind blind open eye stop dissin prescription listen class real fast fresh gettin leave keep accept material rhyme artificially flavor like cereal like clarity come speak clear concise little slack wack slap fuck boogie productions simply cause leave radical sound mess roll fess wild guess think best turn burn rhyme immediately come boomin dope provoke walkin rope rope word lookin string sing sing bring enlightenment suckers bitin radio fightin fan likin face wipin cause mouth dirty unworthy think serve hear style universal need rehearsal beef rhyth rhymin timin climbin realize producer dope record think time break second breath control break track resume attack crew wack lack mean like play style rockin radical rebel level go know mean doom boom consume room fraction capital krsone bdbdbdbdp takin constantly deal wheel steal come kneel queen playboy wack feel understand jam krsone slam hypothetically reality takin small technicality rhyme like rhyme like come handy diss soft silly budget sucker like style need house shelf label sucker style like,187,5.316321462244582E-4,0.13244431973611134,5.316321291272525E-4,5.316321365351301E-4,5.316321419125695E-4,5.316322653198746E-4,5.316321211816859E-4,0.21523938795664468,0.4087271155619287,0.0998498780788236,0.09643523631479822,5.316321468786519E-4,5.316321186799946E-4,0.04039284436282094,5.316321532926026E-4,5.316321699226504E-4,0.8093793999783387,0.5657000743532548,0.006856432586779706,2.8441295546558707E-5,0.727947238252267,0.697688256129721,obscene,0.44285714285714284
80974,einstein,the tables are turnin',1990,hip hop,share hard time niggas serve hard time involve niggas lose live hollywood pass nearly lose mind roll traffickers work maximas stretch nervous ask bitch purpose gotta search ask question decide hoe fuck shop thug thug shit turn niggas deep thug shit money fuck little nigga touch little move home fuck little feel know guess write recognize quoteable lap loneliest time survive loneliest nights think struggle time survive nickel dime bread world shoot bitch best friends talk show everybody walk party club function leave bring discussions fuck best friends talk abortions little girls hair braid porches promise share losses baby daddy pass share losses get cnotes hoppers death irish hoe deep throat yeah beef know anybody know flow miami bitch know nice entourage lock mint wonder bras club miss lap know funny table turn move forward thank lessons learn strip club step stone stage pay wasn second home somebody shit streets roll wrap late nights shit beach bring blue baby jeans shit tall body guy underneath bottle feet scream tryna club show time face think disappoint fell fell accept wouldn tell try cell lap,183,0.017988552379668434,0.04582845270738095,0.16080644997244664,3.957261916541873E-4,0.009408576523403489,0.05432327558592441,3.957261844063358E-4,0.1599981176685021,0.3520361289804685,3.957262080366925E-4,0.12793746636705722,3.9572617914261605E-4,3.9572615875715364E-4,3.9572617859059473E-4,3.9572617850678005E-4,0.017623276572100128,0.8862774829416226,0.4683485885701099,0.08694687444465306,3.2591093117408906E-4,0.9649629018961252,0.6626521268732316,obscene,0.42857142857142855
80975,the original squad,all the blacks,1990,hip hop,close light glow go eye good life reason go live die start walk hearts lose like wither leave fall late realize lose start walk hearts lose,26,0.0020242915011336733,0.0020242915657520395,0.14183996481381594,0.002024291652389338,0.0020242915016386973,0.002024291504379461,0.002024291526964342,0.0020242915599129395,0.00202429155368138,0.0020242915127893185,0.0020242915591973483,0.11951369169053501,0.0020242915084629307,0.00202429168479587,0.5987453178100773,0.1095366523204593,0.7768872522473736,0.5709304412481091,0.015460858896444676,1.2753036437246964E-5,0.3435696619950536,0.5225076098472745,sadness,0.42857142857142855
80978,asher d,bite of love,1990,hip hop,leave live watch dream turn ash hop bits go fool care live maintemant vaisje faire tout temps sera tous gens indiffèrent maintenant parti go fool care live goodbye,28,0.003289473699976431,0.003289473756925368,0.38564520281938924,0.0032894737387677607,0.00328947368539924,0.0032894737167421836,0.0804220317006482,0.003289473987921156,0.0032894738103936053,0.003289473726443264,0.0032894738160038034,0.003289473976331439,0.0032894737256157465,0.00328947372142447,0.37873644978566234,0.10585420915894315,0.7747211090653093,0.5118580622003435,2.2289179005199804E-4,0.0,0.3816982687551525,0.45443741586323805,world/life,0.42857142857142855
80979,asher d,we are the champions,1990,hip hop,shit shit shit shit shit shit shit shit shit,9,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.905263157894736,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.0052631578947369,0.8548684068016896,0.6508986488218854,0.04678619155240116,5.5364372469635625E-6,0.740313272877164,0.6966872238652497,obscene,0.42857142857142855
80981,chris biscuit,rhymes to kill,1990,hip hop,start begin list mean situation lacin mics recreation studio pacin need question work wastin time time rhyme dime vacay sttropez want make time real talk homie girl talk bond thinkin makin hit culture marry game mixtape altar fame need cost play sick team rain want rain know doin movin money grind hard listen get nothin cookin holla yeah yeah block tell know tell yeah pretty ladies hookin holla yeah yeah girls tell know tell yeah kill backwoods damn boogie bitch hood stand couch table bottle like yolo know motto model clean number sixes step freshest table bitch state state city city witness lebron witness niggas jump business niggas business come home venice poke bitch overseas drinkin eatin smokin enjoyin tradition trick pokin potent delicious know freezy buzz wanna miss know freezy rush wanna risk waitin curb say hear niggas wanna like wifey fuck like mistress gunners special mission city need piece biscuits come leavin little mami smokin sippin,158,5.482456493426543E-4,5.48245659525492E-4,5.482456367192265E-4,5.48245653226582E-4,0.0932989357133858,0.023268778491606676,5.482456193455056E-4,0.1634375211354765,0.5101386832386922,5.48245656439006E-4,0.09007871235219561,5.482456359483971E-4,5.482456331201753E-4,0.046483220098777416,5.482456295704035E-4,5.482456427318961E-4,0.9296003465829092,0.5353434351203752,0.003442774540938294,0.02236842105263158,0.6372629843363561,0.5645509649550615,obscene,0.42857142857142855
80989,nice & smooth,hip hop junkies,1991,hip hop,funky funky rhyme funky style funky funky rhyme funky funky style funky rhyme funky funky style funky rhyme funky funky style rickety rocket favorite cartoon marriage honeymoon damn spoon love popeye goon ladies body flow send chill spine like eskimo backstage pass funky come kiss mistletoe nice life like fairy tale orca great whale know girl break scale tell tell clientele excel take little test pass fail brake need skin wanna nice smooth funky hiphop junkies wanna nice smooth funky hiphop junkies wanna funky funky rhyme funky funky style funky rhyme funky funky style funky funky rhyme funky funky style funky rhyme funky funky style outta call nice cause wasn late skin come block cause harder say nice girl name annazette annazette teacher sure gonna come say smooth fret twive keep tall dope step come hat nice girl say smooth skin cause begonia dress warm catch pneumonia rhyme stronger ammonia cubic zirconia nice smooth funky hiphop junkies wanna nice smooth funky hiphop junkies wanna nice smooth funky hiphop junkies wanna nice smooth funky hiphop junkies wanna nice smooth funky hiphop junkies wanna,182,0.019637386660677283,5.847953719071732E-4,5.847953943141892E-4,5.847953481785868E-4,5.847953598216993E-4,5.847954321036525E-4,0.03175356631813011,5.84795367033592E-4,0.4287995933389514,5.847953578367688E-4,0.1352265168014005,5.8479534203501E-4,5.847953728793357E-4,0.2722063418900636,5.847953523592294E-4,5.847953234101271E-4,0.9360987761291022,0.639079045201651,0.025902636448430168,2.84412955465587E-4,0.6290189612530914,0.42740954472251785,obscene,0.4142857142857143
