_c0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
20290,lefty frizzell,if you've got the money i've got the time,1950,country,money time honky tonkin time night spot dance drink beer wine money time tarry start tonight spread spread right baby line money time money time honky tonkin time bring cadillac leave wreck money time honky tonkin club dark fool short money short time cause money time money time honky tonkin time night spot dance drink beer wine money time,59,0.022812802760810384,0.0010741138774035864,0.0010741138784401277,0.3525039110622927,0.00107411385865926,0.0010741138685335645,0.001074113865244643,0.0010741138788851288,0.3497062934297443,0.001074113881663967,0.17901198546990862,0.08092741311070735,0.0010741138639546158,0.001074113865285166,0.0010741138984408935,0.001074113856534657,0.5234484999458465,0.655488039381586,0.8333331659971547,9.524291497975709E-5,0.9556883759274525,0.3923734154660285,night/time,1.0
20292,lefty frizzell,i want to be with you always,1950,country,lose blue heart stay go sing song wanna dear near forever travel shinin guitar stay sweetheart feel want blame work wrong cause true blue,24,0.0022883295435922246,0.00228832953512255,0.0022883296274388613,0.0022883297005473206,0.002288329534612289,0.047433888951115256,0.09652258693902384,0.002288329682316296,0.002288329591825932,0.3245185654766153,0.0022883296170045256,0.002288329539721639,0.002288329548897475,0.002288329543037355,0.2056627862530842,0.09128463984161592,0.7054045272392505,0.5949798733430761,0.7771082099480021,2.2874493927125506E-4,0.7176422093981862,0.2262020595638222,music,1.0
20293,lefty frizzell,how long will it take (to stop loving you),1950,country,long count star long climb mar long world stand true long stop love long water deep long mountain stand steep long world long stop love long forever time dear long true long stop love,34,0.0015948963390061228,0.0015948964913559485,0.11945797055168189,0.3602829121022624,0.0015948963317385467,0.0015948963524440706,0.207723316970304,0.001594896362696921,0.0015948963420484084,0.0015948963554525764,0.0015948963658996501,0.11522478242873635,0.0015948963549128395,0.0015948963490029784,0.0015948963832821052,0.0015948963324866486,0.7801364670204701,0.5831089916160295,0.8925701732632263,5.151821862348178E-5,0.7063066776586975,0.18015457539815055,night/time,1.0
20297,lefty frizzell,look what thoughts will do,1950,country,think love think love look thoughts today wear crown think make world round watch thoughts future years bring tear think sure thoughts help dear think build home home think kiddies look thoughts know feel real guess appeal forget deal goodbye think blue look thoughts,44,0.0012531328484846095,0.0012531329287540215,0.30853591524417545,0.0012531328420484864,0.0012531328333707811,0.0012531328999812119,0.09814847832915483,0.37033562164039474,0.0012531329155689268,0.08050671086875458,0.08626658244072129,0.0012531328831903291,0.0012531328444481888,0.0012531329642051718,0.0012531329996857924,0.03991596401693847,0.7162352431495722,0.6096966899982053,0.7349394929111376,0.0,0.703215169002473,0.249225801646658,world/life,1.0
20300,lefty frizzell,treasure untold,1950,country,dream eye blue love forever long dear want near girl dream tell heart little girl treasure untold kiss give life sweetest dream precious gold sweet face dear smile eye story tell heart little girl treasure untold,36,0.001697792897606617,0.0016977929486261944,0.14071351229279008,0.0016977929534470783,0.0016977928701574756,0.07757680470687431,0.4281032499546286,0.00169779304575657,0.001697792906286189,0.042720689702397306,0.0016977929158862649,0.05558751667679298,0.0016977928774958887,0.1621967962807294,0.001697792970433421,0.001697792870067521,0.7032383840571862,0.6488475245493937,0.6857426563681289,0.0,0.3847897774113768,0.2191948337125243,romantic,1.0
20302,lefty frizzell,my old pal,1950,country,songwriter rodgers think tonight wish dream time days go fill heart cheer remember nights sing sweet face place heart pal best friends place like pal yesterday original rodgers yodel wonder tonight think weary heart light sweetheart face checker life come right dream pal,43,0.0016447369254951809,0.0016447368901471857,0.4062036856669969,0.1762161231239207,0.0016447368451711585,0.0016447368458200908,0.0016447371348040532,0.0016447370053966348,0.001644736931466593,0.09762465753042965,0.00164473693399929,0.0016447371204448898,0.001644736850096125,0.0016447371176729643,0.29528447948882297,0.00164473700830164,0.6350048738221598,0.642360844037638,0.6746984685727597,0.0,0.5610057708161582,0.17514941407579493,world/life,1.0
20304,lefty frizzell,always late (with your kisses),1950,country,late kiss come arm sweet darling stay late kiss want long think know late late kiss want late kiss,19,0.03998744929370394,0.00263157897310172,0.002631579012282353,0.43295425610536736,0.002631578960640182,0.0026315789550144437,0.3805056894780851,0.0026315793694048325,0.0026315790153510757,0.002631578991213441,0.0026315790086202545,0.0026315789828042315,0.002631578963042285,0.0026315789998776753,0.0026315790168757293,0.0026315789548363965,0.7736380374742771,0.6217726841525011,0.8453813708648303,0.0,0.5599752679307503,0.19817315615863076,night/time,1.0
20305,lefty frizzell,i love you a thousand ways,1950,country,prove days come swear true darlin think past prove days come darling true good heart apart true prove someday heart stay blue lonesome days prove thousand ways nice sweet blue prove everyday kinds ways darlin free change great change true blue days,42,0.0012531329738121578,0.0012531328585359764,0.48812601902317604,0.0012531328560032614,0.0012531328325012,0.0012531328626888053,0.21020261921676675,0.0012531329266104701,0.0012531328660685074,0.12092075606401237,0.001253132867747333,0.0012531328427399394,0.04261706716103421,0.027335062367219894,0.0705824660575734,0.025178415694658236,0.6642478067800283,0.6744609389021357,0.6445779564035707,0.0,0.6393239901071722,0.3122908343083387,world/life,1.0
20309,lefty frizzell,"she's gone, gone, gone",1950,country,say deceive go count guess believe cause look trouble go go go go go go cry bring faster train fly farther track lose right lose heaven warn leave leave tear grind know crawl hand knees tick clock reminder second farther,40,0.0015037594280237656,0.334008684078167,0.0015037595401322889,0.05330619424477978,0.0015037594179965123,0.001503759439974353,0.0015037594475975776,0.19615894484314592,0.0015037594647816688,0.0015037594894490502,0.0015037595133606564,0.0015037596200116307,0.03918767901450528,0.0015037594693170415,0.1136627945508543,0.1960657991603197,0.6555832340517709,0.6559495423428966,0.47088300289458124,0.0020040485829959515,0.9392003297609234,0.5255107066406879,violence,1.0
20311,lefty frizzell,the long black veil,1950,country,years cold dark night kill neath light scene agree slayer look like judge say alibi speak word mean life arm best friend wife walk hill long black veil visit grave night wind wail know see know scaffold high eternity near stand crowd shed tear night cold wind moan long black veil cry bone walk hill long black veil visit grave night wind wail know see know know know,68,0.0010319917535778756,0.35535683015023184,0.001031991880756334,0.10556588256213276,0.0010319917472688298,0.0010319917804993567,0.0010319919077884654,0.24032860783177273,0.001031991772274878,0.001031991780777083,0.058242750321074996,0.2260580441250089,0.0010319917501313766,0.0010319918119149982,0.0010319918369432813,0.0010319917464690711,0.5104516408534604,0.5078327308155782,0.8343371830694609,0.0,0.41467436108821104,0.19316799483627514,violence,1.0
